Date,2x LETF Change,3x LETF Change
2023-05-19,-0.30406,-0.46152
2023-05-18,1.87219,2.78955
2023-05-17,2.39826,3.58868
2023-05-16,-1.28795,-1.93335
2023-05-15,0.60172,0.88895
2023-05-12,-0.28513,-0.43825
2023-05-11,-0.35662,-0.54707
2023-05-10,0.89022,1.31908
2023-05-09,-0.91761,-1.38619
2023-05-08,0.07135,0.10197
2023-05-05,3.68949,5.52935
2023-05-04,-1.47439,-2.23338
2023-05-03,-1.41256,-2.1294
2023-05-02,-2.32791,-3.51095
2023-05-01,-0.11497,-0.15655
2023-04-28,1.6624,2.47805
2023-04-27,3.86764,5.77185
2023-04-26,-0.79424,-1.1874
2023-04-25,-3.17211,-4.76838
2023-04-24,0.15132,0.21815
2023-04-21,0.16956,0.25001
2023-04-20,-1.21351,-1.85317
2023-04-19,-0.03747,-0.06017
2023-04-18,0.15049,0.22408
2023-04-17,0.64539,0.95891
2023-04-14,-0.43576,-0.64972
2023-04-13,2.62842,3.92368
2023-04-12,-0.83968,-1.26708
2023-04-11,-0.01813,-0.04309
2023-04-10,0.18467,0.27201
2023-04-06,0.74072,1.10187
2023-04-05,-0.55043,-0.85087
2023-04-04,-1.15478,-1.74562
2023-04-03,0.72485,1.07511
2023-03-31,2.87332,4.31152
2023-03-30,1.11127,1.6421
2023-03-29,2.83138,4.23337
2023-03-28,-0.33668,-0.49524
2023-03-27,0.31495,0.45484
2023-03-24,1.12954,1.66694
2023-03-23,0.54914,0.81444
2023-03-22,-3.30568,-5.16696
2023-03-21,2.59736,3.88404
2023-03-20,1.7804,2.63697
2023-03-17,-2.23022,-3.32229
2023-03-16,3.4816,5.20607
2023-03-15,-1.38995,-2.10921
2023-03-14,3.35193,5.00977
2023-03-13,-0.32986,-0.48767
2023-03-10,-2.90965,-4.3603
2023-03-09,-3.71631,-5.59264
2023-03-08,0.28438,0.41444
2023-03-07,-3.07925,-4.6276
2023-03-06,0.12674,0.18181
2023-03-03,3.23393,4.84874
2023-03-02,1.48963,2.21326
2023-03-01,-0.94011,-1.43671
2023-02-28,-0.6176,-0.91481
2023-02-27,0.62421,0.92183
2023-02-24,-2.11425,-3.17298
2023-02-23,1.02325,1.51686
2023-02-22,-0.3252,-0.49996
2023-02-21,-4.02681,-6.04777
2023-02-17,-0.52668,-0.79808
2023-02-16,-2.81368,-4.24761
2023-02-15,0.59238,0.87581
2023-02-14,-0.0554,-0.08274
2023-02-13,2.30362,3.44487
2023-02-10,0.46596,0.69334
2023-02-09,-1.79513,-2.71468
2023-02-08,-2.22532,-3.34729
2023-02-07,2.56293,3.8313
2023-02-06,-1.23117,-1.85276
2023-02-03,-2.08017,-3.11996
2023-02-02,2.89432,4.32595
2023-02-01,2.07611,3.10533
2023-01-31,2.91545,4.36307
2023-01-30,-2.58511,-3.89753
2023-01-27,0.48575,0.72816
2023-01-26,2.15875,3.22126
2023-01-25,-0.04354,-0.08563
2023-01-24,-0.16418,-0.23907
2023-01-23,2.36181,3.52937
2023-01-20,3.77209,5.66337
2023-01-19,-1.55397,-2.35792
2023-01-18,-3.1369,-4.70269
2023-01-17,-0.4224,-0.64871
2023-01-13,0.7973,1.19082
2023-01-12,0.63841,0.92748
2023-01-11,2.55003,3.82622
2023-01-10,1.37737,2.05907
2023-01-09,-0.13698,-0.21415
2023-01-06,4.56443,6.8361
2023-01-05,-2.35831,-3.55556
2023-01-04,1.50002,2.2399
2023-01-03,-0.82289,-1.23221
2022-12-30,-0.50636,-0.76721
2022-12-29,3.44464,5.1325
2022-12-28,-2.42716,-3.6377
2022-12-27,-0.81337,-1.22689
2022-12-23,1.17078,1.74665
2022-12-22,-3.34892,-4.85723
2022-12-21,2.98347,4.47086
2022-12-20,0.20502,0.29204
2022-12-19,-1.80192,-2.72103
2022-12-16,-2.23769,-3.34706
2022-12-15,-5.01051,-7.54696
2022-12-14,-1.19932,-1.78856
2022-12-13,1.4573,2.17499
2022-12-12,2.8408,4.24883
2022-12-09,-1.47699,-2.21606
2022-12-08,1.48899,2.21114
2022-12-07,-0.37825,-0.57917
2022-12-06,-2.88763,-4.33546
2022-12-05,-3.59453,-5.3962
2022-12-02,-0.23763,-0.35896
2022-12-01,-0.17997,-0.29546
2022-11-30,6.22898,9.33269
2022-11-29,-0.32408,-0.48316
2022-11-28,-3.11538,-4.66326
2022-11-25,-0.05827,-0.0968
2022-11-23,1.15614,1.70281
2022-11-22,2.68391,4.02034
2022-11-21,-0.77199,-1.16742
2022-11-18,0.94283,1.41307
2022-11-17,-0.63273,-0.9592
2022-11-16,-1.61018,-2.43571
2022-11-15,1.73442,2.60501
2022-11-14,-1.75459,-2.64781
2022-11-11,1.86163,2.77156
2022-11-10,11.07571,16.63338
2022-11-09,-4.1819,-6.30195
2022-11-08,1.09907,1.64964
2022-11-07,1.90575,2.85505
2022-11-04,2.77369,4.13293
2022-11-03,-2.1329,-3.2251
2022-11-02,-5.01521,-7.52541
2022-11-01,-0.84185,-1.25849
2022-10-31,-1.49707,-2.25515
2022-10-28,4.91317,7.38816
2022-10-27,-1.23511,-1.89313
2022-10-26,-1.49262,-2.24056
2022-10-25,3.23404,4.85392
2022-10-24,2.36733,3.53435
2022-10-21,4.75762,7.11639
2022-10-20,-1.62649,-2.44658
2022-10-19,-1.36129,-2.03715
2022-10-18,2.27556,3.40342
2022-10-17,5.25435,7.89704
2022-10-14,-4.71624,-7.10097
2022-10-13,5.17297,7.73304
2022-10-12,-0.66527,-1.00383
2022-10-11,-1.31897,-1.98548
2022-10-10,-1.50647,-2.25738
2022-10-07,-5.59534,-8.40224
2022-10-06,-2.06023,-3.1062
2022-10-05,-0.41031,-0.61229
2022-10-04,6.12565,9.17362
2022-10-03,5.16087,7.72895
2022-09-30,-3.01602,-4.52558
2022-09-29,-4.237,-6.38157
2022-09-28,3.93448,5.89608
2022-09-27,-0.4355,-0.64545
2022-09-26,-2.07711,-3.1363
2022-09-23,-3.43685,-5.17609
2022-09-22,-1.71116,-2.57989
2022-09-21,-3.4312,-5.14027
2022-09-20,-2.26887,-3.40212
2022-09-19,1.37461,2.03742
2022-09-16,-1.44858,-2.16419
2022-09-15,-2.27906,-3.43043
2022-09-14,0.7227,1.07444
2022-09-13,-8.66553,-12.9938
2022-09-12,2.10376,3.14997
2022-09-09,3.06596,4.58912
2022-09-08,1.3079,1.95274
2022-09-07,3.65427,5.48783
2022-09-06,-0.81907,-1.23881
2022-09-02,-2.13664,-3.20996
2022-09-01,0.58926,0.86286
2022-08-31,-1.53482,-2.3067
2022-08-30,-2.20012,-3.3044
2022-08-29,-1.34361,-2.01806
2022-08-26,-6.7451,-10.11964
2022-08-25,2.79174,4.17233
2022-08-24,0.58079,0.86126
2022-08-23,-0.46118,-0.69294
2022-08-22,-4.26771,-6.41609
2022-08-19,-2.59085,-3.8759
2022-08-18,0.46136,0.6647
2022-08-17,-1.42408,-2.13809
2022-08-16,0.3773,0.5606
2022-08-15,0.7882,1.17729
2022-08-12,3.47038,5.21447
2022-08-11,-0.10894,-0.18882
2022-08-10,4.24671,6.37638
2022-08-09,-0.84471,-1.27729
2022-08-08,-0.25709,-0.3893
2022-08-05,-0.31004,-0.46609
2022-08-04,-0.16952,-0.26985
2022-08-03,3.11798,4.67194
2022-08-02,-1.34078,-2.01683
2022-08-01,-0.5831,-0.87282
2022-07-29,2.8606,4.28113
2022-07-28,2.43235,3.63009
2022-07-27,5.2207,7.83023
2022-07-26,-2.32177,-3.48033
2022-07-25,0.24831,0.37145
2022-07-22,-1.86794,-2.8076
2022-07-21,1.96836,2.93722
2022-07-20,1.18209,1.75791
2022-07-19,5.5142,8.2806
2022-07-18,-1.68449,-2.52928
2022-07-15,3.83108,5.74487
2022-07-14,-0.59559,-0.90961
2022-07-13,-0.91424,-1.35627
2022-07-12,-1.8463,-2.78051
2022-07-11,-2.3144,-3.47394
2022-07-08,-0.16057,-0.24131
2022-07-07,2.98611,4.47181
2022-07-06,0.70767,1.0617
2022-07-05,0.33878,0.50601
2022-07-01,2.10512,3.1548
2022-06-30,-1.74428,-2.64282
2022-06-29,-0.13289,-0.1998
2022-06-28,-4.03951,-6.0601
2022-06-27,-0.61326,-0.9025
2022-06-24,6.11637,9.15614
2022-06-23,1.89233,2.82308
2022-06-22,-0.26996,-0.40366
2022-06-21,4.90218,7.34136
2022-06-17,0.42814,0.64284
2022-06-16,-6.50849,-9.76243
2022-06-15,2.91553,4.37451
2022-06-14,-0.69104,-1.04237
2022-06-13,-7.75998,-11.65157
2022-06-10,-5.82439,-8.73829
2022-06-09,-4.75819,-7.14226
2022-06-08,-2.16002,-3.23928
2022-06-07,1.90286,2.85351
2022-06-06,0.61522,0.92439
2022-06-03,-3.26345,-4.89362
2022-06-02,3.7097,5.55077
2022-06-01,-1.4951,-2.23149
2022-05-31,-1.24247,-1.87521
2022-05-27,4.97047,7.45882
2022-05-26,3.96315,5.93408
2022-05-25,1.88172,2.82895
2022-05-24,-1.62087,-2.44113
2022-05-23,3.72105,5.58454
2022-05-20,0.0312,0.03903
2022-05-19,-1.1766,-1.76547
2022-05-18,-8.03389,-12.05549
2022-05-17,4.03875,6.05243
2022-05-16,-0.79005,-1.1835
2022-05-13,4.7841,7.17731
2022-05-12,-0.20282,-0.30867
2022-05-11,-3.28722,-4.94319
2022-05-10,0.48283,0.72217
2022-05-09,-6.40432,-9.60483
2022-05-06,-1.11761,-1.67471
2022-05-05,-7.11841,-10.6799
2022-05-04,5.97758,8.95918
2022-05-03,0.95671,1.43373
2022-05-02,1.12814,1.68875
2022-04-29,-7.25366,-10.87025
2022-04-28,4.95373,7.4232
2022-04-27,0.42149,0.62383
2022-04-26,-5.64019,-8.45374
2022-04-25,1.13409,1.70217
2022-04-22,-5.55113,-8.32936
2022-04-21,-2.94558,-4.41835
2022-04-20,-0.12884,-0.1913
2022-04-19,3.20932,4.81622
2022-04-18,-0.04842,-0.07758
2022-04-14,-2.43796,-3.65279
2022-04-13,2.2598,3.38505
2022-04-12,-0.68612,-1.02505
2022-04-11,-3.38492,-5.07407
2022-04-08,-0.53373,-0.7995
2022-04-07,0.87298,1.29697
